Account address,Show boosts,Notify on new posts,Languages
agentydragon@mastodon.social,true,false,
aissen@octodon.social,true,false,
@aithir@mstdn.social,true,false,
algernon@trunk.mad-scientist.club,true,false,
alxd@writing.exchange,true,false,
@amolith@nixnet.social,true,false,
@andryou@mastodon.social,true,false,
andryou@mastodon.social,true,false,
andybalaam@mastodon.social,true,false,
Angle@anticapitalist.party,true,false,
apetresc@fosstodon.org,true,false,
@aral@mastodon.ar.al,true,false,
aral@mastodon.ar.al,true,false,
Archivist@social.linux.pizza,true,false,
ascott@fosstodon.org,true,false,
@ashley@digipres.club,true,false,
autumn@triangletoot.party,true,false,
@axbom@social.axbom.com,true,false,
@badtuple@mastodon.social,true,false,
badtuple@mastodon.social,true,false,
@BalooUriza@social.tulsa.ok.us,true,false,
@bcshort@mastodon.social,true,false,
@bearveloper@mas.to,true,false,
bearveloper@mas.to,true,false,
benhamill@eldritch.cafe,true,false,
@bjoern@mastodon.social,true,false,
bleeptrack@chaos.social,true,false,
blueberry@fosstodon.org,true,false,
brainblasted@social.libre.fi,true,false,
@caranmegil@mstdn.social,true,false,
caranmegil@mstdn.social,true,false,
carlcolglazier@scholar.social,true,false,
@chiefgyk3d@social.chiefgyk3d.com,true,false,
chrismastodon@fosstodon.org,true,false,
ckeen@vernunftzentrum.de,true,false,
clarabellum@mstdn.party,true,false,
@claudiom@bsd.network,true,false,
codesections@fosstodon.org,true,false,
coding@todon.nl,true,false,
corbin@toot.cafe,true,false,
craigmaloney@octodon.social,true,false,
cuspidalcoffee@types.pl,true,false,
danana_dread@cybre.space,true,false,
@darth@silversword.online,true,false,
david@mastodon.technology,true,false,
david@tech.lgbt,true,false,
detondev@social.linux.pizza,true,false,
digital_carver@qoto.org,true,false,
@downey@floss.social,true,false,
downey@floss.social,true,false,
@dredmorbius@toot.cat,true,false,
@drwho@hackers.town,true,false,
drwho@hackers.town,true,false,
@dsalo@digipres.club,true,false,
@duncanhart@mastodon.duncanhart.com,true,false,
ellotheth@bsd.network,true,false,
endeavorance@astral.camp,true,false,
enterprisey@wiki.style,true,false,,true,false,
@ephemeral@mograph.social,true,false,,true,false,
@er1n@social.mecanis.me,true,false,,true,false,
@ericmann@tekton.network,true,false,,true,false,
@Erik@mastodon.utwente.nl,true,false,
@esureL@chaos.social,true,false,
@esureL@chaos.social,true,false,,true,false,
@EvanHahn@bigshoulders.city,true,false,,true,false,
@finlaydag33k@social.linux.pizza,true,false,
@finlaydag33k@social.linux.pizza,true,false,,true,false,
@flavigula@sonomu.club,true,false,,true,false,
@fluffy@plush.city,true,false,,true,false,
@foosel@chaos.social,true,false,,true,false,
@francoisz@fosstodon.org,true,false,,true,false,
@freemo@qoto.org,true,false,
@freemo@qoto.org,true,false,,true,false,
@gappleto97@mastodon.social,true,false,,true,false,
@gdorn@fedi.circuitlocution.com,true,false,,true,false,
@GigaByte4711@whitespashe.uk,true,false,
@glenda@fedi.9til.de,true,false,,true,false,
@gme@bofh.social,true,false,
@gnomethrower@aus.social,true,false,
@gnomethrower@aus.social,true,false,,true,false,
@greenfructose@tribefeed.online,true,false,
@greenfructose@tribefeed.online,true,false,,true,false,
@greenprocyon@mastodon.social,true,false,,true,false,
@greyor@freeradical.zone,true,false,,true,false,
@gueorgui@merveilles.town,true,false,,true,false,
@hejowhat@fosstodon.org,true,false,
@hejowhat@fosstodon.org,true,false,,true,false,
@hlegius@fosstodon.org,true,false,
@hlegius@fosstodon.org,true,false,,true,false,
@hollowgaming@gamemaking.social,true,false,,true,false,
@hollowspecter@tech.lgbt,true,false,,true,false,
@holly@lotor.tech,true,false,
@hugo@masto.pt,true,false,,true,false,
@huntra@mastodon.technology,true,false,,true,false,
@ilyess@mastodon.online,true,false,
@ilyess@mastodon.online,true,false,,true,false,
@ishara@social.isharacomix.org,true,false,
@jacek@mastodon.technology,true,false,,true,false,
@jacenboy@mastodon.jacen.moe,true,false,
@jacenboy@mastodon.jacen.moe,true,false,,true,false,
@jasondilworth@mastodon.online,true,false,,true,false,
@jaz@toot.wales,true,false,
@jazzy_bellx7@mastodon.social,true,false,
@jdormit@mastodon.technology,true,false,,true,false,
@jeffalyanak@social.rights.ninja,true,false,
@jeffalyanak@social.rights.ninja,true,false,,true,false,
@joe@oldinternet.net,true,false,
@joe@oldinternet.net,true,false,,true,false,
@john@sackheads.social,true,false,
@jonah@mastodon.neat.computer,true,false,
@julianwki@chaos.social,true,false,
@julianwki@chaos.social,true,false,,true,false,
@keith@anarchism.space,true,false,,true,false,
@kev@fosstodon.org,true,false,
@kinetix@mycrowd.ca,true,false,
@kinsey@cybre.space,true,false,,true,false,
@kisharrington@mastodon.social,true,false,,true,false,
@kjoo@fosstodon.org,true,false,
@kmg@mastodon.social,true,false,
@konrad@fosstodon.org,true,false,
@korruptor@mastodon.social,true,false,
@koyu@koyu.space,true,false,
@kravietz@agora.echelon.pl,true,false,
@kreyren@qoto.org,true,false,
@kujiu@tiphon.nerv-project.eu,true,false,
@l4p1n@miaou.drycat.fr,true,false,
@liam@octodon.social,true,false,
@Librenyaa@mastodon.social,true,false,
@lkhrs@fosstodon.org,true,false,
@makingmicro@oldbytes.space,true,false,
@marcel@tfwnogf.nl,true,false,
@martijn@ieji.de,true,false,
@martin@mstdn.binfalse.de,true,false,
@masterofthetiger@theres.life,true,false,
@mattberan@hachyderm.io,true,false,
@mattbraddock@fosstodon.org,true,false,
@mattdm@fosstodon.org,true,false,
@mcchessers@mastodon.gamedev.place,true,false,
@mikapyon@mastodon.social,true,false,
@mike@fosstodon.org,true,false,
@Milevskis@mastodon.social,true,false,
