Account address,Show boosts,Notify on new posts,Languages
@adelinasimion@fosstodon.org,true,false,
@alrs@lsngl.us,true,false,
@aykevl@mastodon.social,true,false,
@bashbunni@mastodon.social,true,false,
@bradfitz@inuh.net,true,false,
@breml@social.tinygo.org,true,false,
@charmcli@mastodon.social,true,false,
@conejo@social.tinygo.org,true,false,
@crawshaw@inuh.net,true,false,
@deadprogram@social.tinygo.org,true,false,
@dr2chase@mastodon.social,true,false,
@filippo@mastodon.social,true,false,
@fribbledom@mastodon.social,true,false,
@Gers@mastodon.social,true,false,
@goinggodotnet@techhub.social,true,false,
@golang_discussions@mastodon.social,true,false,
@gotosocial@superseriousbusiness.org,true,false,
@hajimehoshi@mstdn.jp,true,false,
@huan@itdev.social,true,false,
@Jaminologist@mstdn.social,true,false,
@kevburnsjr@mastodon.social,true,false,
@kivutar@fedi.9til.de,true,false,
@linux_nerd@mstdn.social,true,false,
@maartje@blahaj.social,true,false,
@mafe@layer8.space,true,false,
@mariusor@metalhead.club,true,false,
@markus@hachyderm.io,true,false,
@MatejLach@social.matej-lach.me,true,false,
@mattn@mstdn.jp,true,false,
@mia@lgbtqia.space,true,false,
@mvdan@fosstodon.org,true,false,
@natefinch@hachyderm.io,true,false,
@rakyll@m.rakyll.org,true,false,
@reneefrench@mastodon.art,true,false,
@robpike@inuh.net,true,false,
@sago35@social.tinygo.org,true,false,
@sebian@ioc.exchange,true,false,
@tgulacsi@mastodon.green,true,false,
@TinyGo@mastodon.social,true,false,
@utahcon@fosstodon.org,true,false,
@victorpierre@mastodon.online,true,false,
@zekjur@mas.to,true,false,
